"ID","Prediction"
0,4190987.75
1,2964092.25
2,3089944.75
3,3769124.5
4,4844602
5,3317913
6,3579172
7,5113001.5
8,4525097.5
9,3238901.75
10,4009426.75
11,3224301
12,4114412.25
13,3388001.25
14,2859187
15,4610153
16,2949949
17,3353156.25
18,5039501.5
19,3869732.5
20,1854438.75
21,4736953
22,5446033
23,3898867
24,5180205.5
25,3147983.75
26,3139864
27,6931282.5
28,5155936
29,8135774.5
30,3973914
31,3202367.25
32,2566618.75
33,6419683
34,2748516.75
35,4353532.5
36,4674127.5
37,7079262.5
38,2773458.5
39,2449367.25
40,6279574.5
41,4647229.5
42,5186033
43,5362569.5
44,6210517.5
45,5320065
46,3980837
47,2197301.25
48,4797023.5
49,4538114.5
50,3360592
51,2746734
52,5468384.5
53,4166670.5
54,2630084.25
55,4917589.5
56,7071574.5
57,5318386
58,3662666.25
59,4966465.5
60,3398991
61,3146338
62,3567058.5
63,3165882.75
64,5457984
65,5299119.5
66,4068846.75
67,7124974
68,4356051.5
69,4866908.5
70,3727656.75
71,2023656.875
72,3846406.5
73,3382513
74,5017841.5
75,3022279.5
76,5614030.5
77,7105573.5
78,3842491
79,3789271.75
80,4025312.75
81,4962664.5
82,4419281.5
83,3181010.5
84,4945264.5
85,1942459.25
86,5594897
87,5846228.5
88,2976023
89,2886821.75
90,5000613.5
91,2276724.75
92,2652924.25
93,5732432.5
94,7933010.5
95,2460164.25
96,4979393.5
97,3334650
98,3608091.5
99,4720340
100,5338629.5
101,2408539.25
102,3992616.25
103,4363247
104,2732128
105,3347943.5
106,3507114.25
107,5995833.5
108,3526303.5
109,4742600.5
110,4852366.5
111,5616591
112,3986803.25
113,4002623
114,3940824
115,3830775.75
116,3573256.75
117,6132994
118,3181702.5
119,5340791
120,5441705.5
121,4410305
122,4113222
123,6504815.5
124,3871758.25
125,4379948.5
126,7405585.5
127,2677425
128,7801853
129,5358862
130,2662185.5
131,6280699.5
132,3927719
133,2963740.75
134,4951306.5
135,3484712
136,7309045
137,5902874.5
138,6817959
139,4490643.5
140,5654462
141,2204903.75
142,3616403.25
143,2032699.375
144,6416852.5
145,3104383.25
146,3502525.25
147,2819070.5
148,4534858.5
149,7023642
150,2968192.25
151,3128958.5
152,5818600.5
153,6437257.5
154,1882332.5
155,4540874.5
156,3847558.25
157,3652353.5
158,3827853.25
159,4198488.5
160,2049768.125
161,3778487
162,3977821
163,15953922
164,8239062
165,2393745.25
166,3885419.25
167,3525894.5
168,5053132.5
169,4167047.25
170,3304308.75
171,3837472.5
172,4871352.5
173,5003776.5
174,5722549.5
175,3701249.25
176,4595470.5
177,3798410
178,5627912
179,3123006
180,4993921.5
181,3872306.25
182,3933533.25
183,4485485
184,5089988
185,3781924.25
186,2329551.5
187,5754598.5
188,3952373
189,3877018
190,3767066.25
191,4901637
192,5819871
193,3167052.75
194,5358154.5
195,2262216.5
196,4358173
197,2360844.25
198,3490869.25
199,5221943.5
200,2956520.5
201,4125187.25
202,3437497.75
203,5217424.5
204,4984860
205,8578492
206,5933485.5
207,4665826
208,5698959.5
209,4010191.5
210,3989012
211,7327879
212,3534415
213,3836897.5
214,5512394
215,1994689.375
216,5222117.5
217,7439687
218,3006058.75
219,1835325.625
220,5176614.5
221,4997042.5
222,3746212.5
223,4754573
224,3883434.25
225,4153318.5
226,3558595.5
227,3803395.25
228,3045374.75
229,7267387
230,3206564.5
231,5251692
232,3041051.75
233,3741614.75
234,4187650
235,3869698.25
236,5210798.5
237,3547570.5
238,7087880.5
239,4122615.25
240,6853026
241,3494260.75
242,3715400.25
243,6872631
244,5079663
245,3586428.25
246,4347698
247,4301413.5
248,3844664
249,3617527.25
250,2579619.5
251,4640957.5
252,4861302.5
253,3739174
254,3546620.75
255,3723663
256,5477155.5
257,6841266.5
258,3112335.5
259,3652429
260,5223617.5
261,2604161.75
262,7375366.5
263,3904656.5
264,2124132.5
265,4430594
266,3368278.25
267,5495283.5
268,6102356
269,3943238.25
270,3635790
271,2916817.75
272,4031706
273,5933442
274,2393403.75
275,6901687
276,5666442
277,6794019.5
278,3708949.75
279,4149683.5
280,5283720
281,6211470.5
282,2674089
283,3555331.75
284,3885681.25
285,3258769.5
286,4578313
287,4600663.5
288,5641134.5
289,5453926
290,4375291
291,4190269.5
292,3999319.5
293,6564089.5
294,2314116
295,6087113.5
296,5400767.5
297,6481429.5
298,3788606.25
299,5802718.5
300,4854818.5
301,5418786
302,5259394.5
303,6674297.5
304,4065067.75
305,5220776.5
306,5654840.5
307,4910023
308,1878506.375
309,3969867.5
310,4335693.5
311,3099137.25
312,2140672
313,4394655.5
314,3594155
315,3010574.5
316,2312945.5
317,3871479.5
318,6954521
319,3365157.25
320,3796410.5
321,5084037.5
322,2615155.75
323,2660063.5
324,3838300.25
325,6811655.5
326,4772047.5
327,3971271.5
328,4037819.75
329,4113380.75
330,2572565.5
331,5354180.5
332,5213495.5
333,6015177
334,6806767
335,4550495.5
336,2640620.5
337,6122239.5
338,7013010
339,2923860.75
340,7181801.5
341,7443004.5
342,4507997
343,7647651
344,5896688.5
345,3930314
346,5022058.5
347,4824521.5
348,2759915
349,6531601.5
350,4227339.5
351,5525628.5
352,4590111
353,3019088.25
354,3725103.5
355,5030992
356,4384843
357,4350833.5
358,7191830
359,5162272
360,5358862
361,5323707.5
362,3991126.25
363,6089906.5
364,15127688
365,3738778.5
366,3071250
367,3501311.25
368,2886468
369,5883454.5
370,3475078.5
371,4028345
372,5418387.5
373,6515604.5
374,4676387
375,3793317.25
376,2610616
377,6285968.5
378,4743766
379,3981992.75
380,5140782
381,3015571
382,3260911.25
383,4434009.5
384,4418085
385,4616211
386,2945650.5
387,4162580.75
388,3689009.5
389,4789058.5
390,5214100.5
391,4061227.5
392,4985565
393,2539429
394,7258058.5
395,3777842.25
396,4395277
397,7480875.5
398,5933375.5
399,3740226.75
400,2476574.75
401,4509385
402,4368056
403,4617369
404,2481993
405,3960973.75
406,3959469
407,4844936
408,3226506.5
409,2632227.25
410,4916076
411,4501326
412,3051036.25
413,4603355
414,7378819
415,4103016
416,6176420.5
417,2042188.375
418,3229730.75
419,2421861.5
420,5357436
421,4883826
422,5944726.5
423,2024934.625
424,4457098
425,3884693.75
426,5478710.5
427,4699872
428,4964728.5
429,3068944.5
430,2553129.25
431,3114038.5
432,2348776.5
433,3611681
434,3516511.75
435,5040595
436,3866109.5
437,2852750.25
438,5229857.5
439,6507366
440,4271914
441,4301380.5
442,5463494.5
443,4641812.5
444,6945914.5
445,14038806
446,6235208
447,6599484.5
448,5163838.5
449,15769624
450,5217372.5
451,3437844.75
452,2839070.75
453,5363585.5
454,4054730.25
455,2632443.75
456,3870770.5
457,3124063.75
458,4331868
459,2913099.5
460,6008778
461,3509867.75
462,7027432
463,2465222.5
464,4915818.5
465,2992061.5
466,3072615
467,3330592.25
468,2972255.25
469,3937689
470,2245739.5
471,4330242.5
472,2415956
473,3665889.5
474,6054405.5
475,4044877.5
476,2789585.5
477,6217720
478,3181957.5
479,7908235.5
480,4004240
481,4487792
482,3461787.25
483,6503292
484,6648506
485,2519755.75
486,5365932.5
487,3570436
488,7120925
489,3623475.5
490,4494422.5
491,3092593.5
492,5076821.5
493,4342140.5
